text	label
半饥半饱便可尔	3
燕巢初就鹊声喧	4
裹饭长歌关外去	4
时巡中外已欢呼	4
无限行人比颂棠	5
远起渔歌越客听	2
天公似欲富来麰	2
良知何似良能实	3
夜宿桃林腊月中	3
感叹亦歔欷	2
才方入手便横行	3
索居从此闭瑶窗	2
一夜凉风动扇愁	2
深注唇儿浅画眉	4
羊也亦多情	3
仰奉帝慈方秀出	5
已寿黄君又寿梁	4
安用追惭饭后钟	4
已幸悬车示子孙	3
寄语春风莫吹尽	3
万神朝罢出通明	4
不轻一字曲褒公	3
下有荒坟事可疑	2
蔬畦蹑屐惬幽情	4
鬼下宁知有聻存	3
喝石岩前夏饮冰	3
口授古尚书	3
悲吟彻曙亦无眠	2
浔阳少有风情客	3
美人何处也	3
解衣扪虱对青灯	2
祇为酴醾筑此台	3
诗老今朝颇安否	3
残骸已废自知休	1
时鼓瑶琴颂雅南	4
数卷新游蜀苑诗	3
日高青女尚横陈	3
早把一官为长物	3
色似栗黄形似茧	3
秋神今岁也痴呆	3
百昌萌动戴芒芽	4
比屋尽闽人	3
连枝带叶更清妍	4
浮云吹尽数秋毫	3
谁计还丹与反真	3
谁收春色将归去	2
一时都喜镜初磨	4
共进新阳万寿觞	5
政坐治声优	4
乐籍小名收	3
十年慷慨见情真	4
故栽庭下要相亲	3
若问灵均旧纫佩	3
昨夜凉风又飒然	2
不笑乞墦非	3
已应知雪似杨花	4
祖考精神散	3
红尘陌上相逢子	3
故人来炷影前香	2
牛刀投隙应宫商	2
殷勤要识圣贤心	5
如何敢望有人烟	3
虽无驿骑红尘起	3
莫向愁中怨未归	2
百年愁里过	1
清猿无断时	2
辉辉星斗露华凉	3
好风吹梦客思家	2
自苫牛屋织鸡栖	3
屡获新篇喜可涯	5
细肋卧沙非望及	3
十月初头方赐对	3
身名身事两蹉跎	2
知晴知雨病形骸	2
认得宫庭白鸽飞	3
安贫随分乐丘园	4
凄凄寒菊委霜丛	2
男生聪慧女娉婷	4
爱酒渊明爱也无	3
燕入花开必有诗	4
洛阳城里觅何人	2
角声催晚雨催寒	2
不及穿云渡水僧	3
水痕冰处动	4
乐天曾谪此江边	3
桥边晓日已曈昽	4
一叶中藏万斛愁	1
敛手还他能者作	3
千金铸镜百神愁	2
野鹤孤云也替愁	2
诸兄无可寄	2
东囤扫场方蹔歇	3
村深麦秀蚕眠后	4
竟日天威无霁色	4
痴儿枉却一生愁	1
过午青衣未散衙	4
更无短计销长日	2
何必桃源寻异处	4
画屏人去锦鳞稀	2
谁令天作海门山	5
仙不离人世	3
月华人影共徘徊	2
秋来美更香	4
地逼难容足	2
我亦时来开病眼	2
天公不自安	2
开门自少俗人过	3
万宇清和当圣日	4
仁杰忠良不附周	3
至今谁道沈家书	4
赢得青楼薄倖名	2
欣然随众强卢胡	4
一阕长歌不须唱	2
谈笑端能却五兵	5
世间好景元无尽	4
朦胧春睡拥春衣	3
杨柳青青沟水流	4
相逢说旧游	4
阴平穷宼非难禦	1
得毋刬草来寻璧	3
福艺俱全不可逃	3
丽句清言继风雅	4
洗尽从前留意处	2
和风淑气夹钟初	4
若到旧家游冶处	3
双鲤迢迢一纸书	4
平生知已识儋州	4
只饶白下骑馿叟	3
二饮停杯歌二歌	3
得旨春秋参祀典	3
画好不如诗好读	3
却喜青云得路岐	5
予心欢喜更何如	5
邵平不见见园瓜	4
无限欢娱荣乐事	5
依旧好青山	4
妾刀不断机	3
朱轮昔愧无遗爱	2
读书岂但资闻见	3
更有子规深夜啼	2
新莽吊师丹	3
想见庭闱日望归	3
孟嘉嗜酒桓温笑	4
三年京国厌藜蒿	2
衰髯摘更稀	2
三苞竹韵琴堂化	5
今朝礼画身	4
不谓今年却再来	3
何事迟留久未还	2
每逢人静慵多歇	3
田多谷少无人会	2
怪得时闻吠夜声	3
老去情怀已不胜	2
世事付杨花	2
覆釜湖边雪压尘	3
梅福曾由邑吏仙	4
谁刻仙材作钓翁	3
未免丁宁惟一事	3
粤艳闽香消受遍	4
健帆千里碧榆风	4
应为昭陵惜老臣	2
西风过了菊花秋	2
初约看花花已尽	4
锦帆去后故宫芜	2
西南失大将	3
谁信浮生更白头	2
却从山脚望山头	2
初尘芸阁辞禅阁	4
君家有此无	3
醉呼红烛更传杯	4
路跨清溪一木斜	3
味尝不暇更论斤	3
来时诗少去时多	3
莫嫌荦确坡头路	3
醉后先眠客莫嗔	3
鹿苑滩头秋月明	3
月来东山白	4
秧愁晴暴死	1
春来蔬甲不胜繁	5
寒芜际碣石	3
已愧当年鲁两生	3
愚于北谷公	3
怅望今朝遥属君	2
雪花才落便销残	2
青鞋不惜涴泥痕	3
虚卧春窗梦阿怜	2
直欲起应当涂高	3
对策刘蕡恐是风	2
石头城下两茅茨	4
日长吟院无公事	3
膏粱孰与文章乐	3
濯缨溪水听溪松	3
长恐诸侯客子来	2
奴视中人少	3
生辉尤喜盖阴斜	4
宝册迨琼瑶	5
萧洒桐庐郡	3
乃知剑履图麟阁	3
百年孤愤竟如何	2
日长攲枕听松声	4
头白宫人埽影堂	2
满眼忧伤祇自攻	1
绿杨阴里听蝉声	3
不随桃李一时开	3
歌喉弦指粉红腮	4
天公元自爱词章	5
东南一望日中乌	3
战罢两奁分白黑	3
几年醉赏禁街春	4
见桃著子始归后	3
欢声喜气塞康庄	5
仁寿生辰节	3
人施钱财鬼施室	3
遥知静坐修禅观	3
常恨当年定交晚	4
自怜吾鬓秃	2
优游谢康乐	4
才闻开闸总驩欣	4
投置不毛邦	2
谁识龙媒气逸羣	3
虽然舐丹药	3
逍遥一笑骑鲸去	4
嗟尔有心虽苦拙	3
酒浇不下胸中恨	1
滚滚尘头马乱啼	2
离乱身偶在	2
曾一泛湖光	4
又将老丑形骸子	3
白鸟营营夜苦饥	2
要须真乐是江湖	4
譬似青天白日中	3
金枝玉叶庆新年	4
我昔孩提从我兄	3
想须百瓮到床头	3
佛法本来南北异	3
日到东窗半角头	4
当时若不嫁胡虏	3
周遭略数一千峰	3
不放骚人与外人	4
可怜万里平戎志	1
却归荒寺有谁知	2
物理乘除不自由	2
当日帆樯隐映来	2
东坡老人翰林公	3
岸花夹水备芳鲜	4
如何一睡到天明	3
乌鸟私情祖母欢	4
却讶野僧萧寺来	3
圣主承欢一万春	4
独坐幽篁里	3
竟日蛮沉拥绣衫	4
信书成自误	3
頼是滁阳起醉翁	3
来瞻石像看唐碑	3
沉忧若解令人死	3
符牒如山退食迟	3
无处是乡家	2
锦城梅花海	3
园父初挑雪底芹	4
远山细腻近山粗	3
前辈不生吾辈老	2
剩喜今朝寂无事	4
穷山往返费三年	2
酒债街头苦不多	2
鹊桥虽别年年在	3
落日山川无限思	3
争得黄金满衫袖	3
我亦暮年专一壑	3
壮士悲歌泪万行	1
一一须梢一雾珠	3
有田多与种黄精	3
不解离乡去国情	2
三宫同捧万年觞	5
且从康乐寻山水	4
绵里裹刀难近傍	3
军衙马足起黄埃	3
落花飞絮满衣襟	3
山不悦人人不老	4
气詟中原一扫平	5
手开花径锦成窠	4
莼花蕰草尽堪看	5
满山无主任春风	2
正是峰前回雁时	4
依依只仰故人怜	2
已将镜镊投诸地	3
险固山河几战争	3
月明应得更褰裳	5
等闲撩乱走空园	2
何必谢公双泪落	3
乐事与良辰	3
舍后菰蒲与海通	3
惭愧生平世	2
别后漂零怯人问	2
菊丛抽緑满枯荄	4
却把荔枝三奠酒	2
他时夜雨困移床	2
军容百万转风雷	3
为公满意落新斋	4
夜窗无月见飞来	3
好命如今见者稀	4
独念故人成久别	1
行边使者几时回	3
冒雪冲霜已十程	3
还家香稻荐新红	4
纯种梅花作墓林	2
楼烦劈未开	3
地吉泉甘庆所钟	4
道旁争掷管宁巾	3
新燕已参春	4
诗人不悔衣沾露	3
一苏穷泽十千鱼	3
自读西湖处士诗	3
倦看涩勒暗蛮村	3
食叨千户窃侯封	2
明朝一饭先书籍	3
小风来不住	3
瘦倚东风望翠华	2
枯槁蒙膏润	4
燕子归时花遍落	3
今年中熟更堪伤	2
时来谈笑取幽州	3
亦任旁人嫌我真	3
眇然今日望欧梅	2
坎坎圆鼙赛神社	4
炎曦不复畏金流	3
谁道梅花早	4
瓦墙一朵佛桑开	4
薪蒲正绿乳凫鸣	4
辉辉朗月照横坡	4
不见尧夫只见窝	2
三十三人走马回	4
